source,config_name,config,target_dataset,target_name,is_source,is_cross_mDark,gen_auc,gen_pr_auc,sig_eff_at_1pct,stability_kl,stability_js,clean_auc,robust_auc,robustness_score,config_mean_auc,config_min_auc,config_min_to_mean_ratio,config_gen_gap
mDark-1_rinv-0.2_alpha-peak,best_min_alpha-5.0,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,mDark-1_rinv-0.8_alpha-peak,False,False,0.5499490212542639,0.46001315065713283,0.01784308580425085,0.013636950220484355,0.00343744862767718,0.5499176979064941,0.5916313529014587,1.0758543599410715,0.596717429709558,0.5104483530327351,0.8554272552105392,0.025519063824832267
mDark-1_rinv-0.2_alpha-peak,best_min_alpha-5.0,"{'alpha': 5.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,mDark-5_rinv-0.3_alpha-peak,False,True,0.6177127735266927,0.5023961317739906,0.005079025629030641,0.007621449237418973,0.0019451011231657143,0.6175869107246399,0.6423243880271912,1.0400550543947342,0.596717429709558,0.5104483530327351,0.8554272552105392,0.025519063824832267
mDark-1_rinv-0.3_alpha-high,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,mDark-1_rinv-0.2_alpha-peak,False,False,0.6075301155647206,0.5388753522377392,0.02220002577651759,0.18213076635103365,0.03717945749066604,0.6074838042259216,0.589002788066864,0.9695777631757495,0.6774390723735525,0.5062880422361079,0.7473558329935408,0.2261030484810812
mDark-1_rinv-0.3_alpha-high,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,mDark-1_rinv-0.3_alpha-high,True,False,0.9035421208546337,0.8882674329037126,0.25890075319882633,0.0,0.0,0.9035295844078064,0.8337271809577942,0.9227447505266114,0.6774390723735525,0.5062880422361079,0.7473558329935408,0.2261030484810812
mDark-1_rinv-0.3_alpha-high,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,mDark-1_rinv-0.3_alpha-low,False,False,0.8078667206576196,0.7812202444918839,0.22530278710053991,0.02712227302943498,0.0065661150929376385,0.8078507781028748,0.7388665080070496,0.9146076577931569,0.6774390723735525,0.5062880422361079,0.7473558329935408,0.2261030484810812
mDark-1_rinv-0.3_alpha-high,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,mDark-1_rinv-0.3_alpha-peak,False,False,0.6517150671331216,0.5874782727492722,0.03562602304458067,0.155264530926188,0.0327610333790784,0.6516585350036621,0.6403977870941162,0.9827198643082568,0.6774390723735525,0.5062880422361079,0.7473558329935408,0.2261030484810812
mDark-1_rinv-0.3_alpha-high,baseline,,AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,mDark-1_rinv-0.8_alpha-peak,False,False,0.813795416276193,0.7719567175204793,0.19383738801214528,0.028481200577471177,0.006860697573545965,0.8138282299041748,0.8377191424369812,1.0293562101373892,0.6774390723735525,0.5062880422361079,0.7473558329935408,0.2261030484810812
mDark-1_rinv-0.3_alpha-high,baseline,,AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,mDark-5_rinv-0.3_alpha-peak,False,True,0.5062880422361079,0.4298899162304597,0.005212684198215658,0.20802612130047088,0.04261050154496782,0.5062962770462036,0.5486097931861877,1.0835746144270437,0.6774390723735525,0.5062880422361079,0.7473558329935408,0.2261030484810812
mDark-1_rinv-0.3_alpha-high,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,mDark-1_rinv-0.2_alpha-peak,False,False,0.6062788834471796,0.5366987681163132,0.022618894187395284,0.045180270715460644,0.010279774524313673,0.6062801480293274,0.5967444181442261,0.9842717431601603,0.6536777542718667,0.5802926628128445,0.887735063677108,0.15784321813100888
mDark-1_rinv-0.3_alpha-high,best_avg_alpha-0.2,"{'alpha': 0.2, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,mDark-1_rinv-0.3_alpha-high,True,False,0.8115209724028756,0.7792590932473222,0.111104389122478,0.0,0.0,0.8115132451057434,0.8197532296180725,1.010153850922366,0.6536777542718667,0.5802926628128445,0.887735063677108,0.15784321813100888
