config_name,config,target_dataset,is_source,gen_auc,gen_pr_auc,sig_eff_at_1pct,stability_kl,stability_js,clean_auc,robust_auc,robustness_score
config_alpha-1.0_eps-0.1_iter-10,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.6025135979722472,0.5407893138304041,0.025164325299652016,0.04338265430421015,0.009957648494429105,0.6024841666221619,0.5931181907653809,0.9844544033259969
config_alpha-1.0_eps-0.1_iter-10,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.8441286011877753,0.8225165378996437,0.17120905048549562,0.0,0.0,0.844111979007721,0.8190492391586304,0.9703087499379495
config_alpha-1.0_eps-0.1_iter-10,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.7247213152390681,0.6809621521006387,0.1273165037209981,0.01848797782589859,0.004532334875654304,0.7247493267059326,0.6944798231124878,0.9582345198842431
config_alpha-1.0_eps-0.1_iter-10,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6393974002631833,0.5783628987982087,0.03536925891452964,0.037586972228129005,0.008790333566629643,0.6394057869911194,0.6269533038139343,0.9805249132389257
config_alpha-1.0_eps-0.1_iter-10,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.7668345736027289,0.7003291789783375,0.11924129399857555,0.006775996188958157,0.0016750995050137207,0.7668122053146362,0.7602049112319946,0.9913834260372388
config_alpha-1.0_eps-0.1_iter-10,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 10, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5486344144083937,0.4562392561780799,0.003575366725699201,0.039535070812504895,0.00911616933493641,0.5486162304878235,0.5547141432762146,1.0111150790835497
config_alpha-1.0_eps-0.1_iter-20,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.6055337904369119,0.537801773863587,0.020814537955922155,0.042293945229484944,0.009910964610204576,0.6054813265800476,0.5960215330123901,0.9843764074094746
config_alpha-1.0_eps-0.1_iter-20,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.839029547576555,0.8102777332006742,0.13161317644211865,0.0,0.0,0.839018702507019,0.8085204362869263,0.9636500758219538
config_alpha-1.0_eps-0.1_iter-20,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.7196174478330657,0.6763932353355067,0.10907631694148548,0.01603268537534337,0.0039513418376464085,0.7196168899536133,0.6753184795379639,0.9384416749605407
config_alpha-1.0_eps-0.1_iter-20,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6413825246333087,0.5751738844040281,0.031068459736174857,0.03686374502011908,0.00875915717199219,0.6413776874542236,0.6304776072502136,0.9830052082926755
config_alpha-1.0_eps-0.1_iter-20,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.7750696045282452,0.7023449973250233,0.10724594219739851,0.005873105086458616,0.0014402534677948882,0.7750583291053772,0.7739101052284241,0.9985185323041706
config_alpha-1.0_eps-0.1_iter-20,"{'alpha': 1.0, 'grad_eps': 0.1, 'grad_iter': 20, 'grad_eta': 0.02}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5549065659772112,0.46257572812023046,0.006649513816954589,0.04167235199766528,0.00985713568466599,0.5549235343933105,0.5806847810745239,1.0464230566637938
config_alpha-1.0_eps-0.5_iter-10,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.5879272874511319,0.5217902376567632,0.015272586673540405,0.06574425125977881,0.01472379919087628,0.5879191160202026,0.5828533172607422,0.9913835107221001
config_alpha-1.0_eps-0.5_iter-10,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.8437642800246025,0.8038403639737264,0.09247103663147706,0.0,0.0,0.8437589406967163,0.8382341265678406,0.9934521415271598
config_alpha-1.0_eps-0.5_iter-10,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.7526851160075879,0.6899984872105289,0.0791988909966438,0.01661418765653273,0.004085443765265413,0.7526753544807434,0.7516793012619019,0.9986766496167147
config_alpha-1.0_eps-0.5_iter-10,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-peak.h5,False,0.6135952716885451,0.5476835296049739,0.01739576981095741,0.058996451056147,0.013395382826140407,0.6135544776916504,0.6165621876716614,1.0049021074564182
config_alpha-1.0_eps-0.5_iter-10,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.8_alpha-peak.h5,False,0.7374588212067823,0.6718214092381057,0.07350901525658807,0.01322182352717334,0.0033072444955145244,0.7374105453491211,0.7867176532745361,1.0668652058699146
config_alpha-1.0_eps-0.5_iter-10,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 10, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-5_rinv-0.3_alpha-peak.h5,False,0.5373186335638943,0.4778228751658961,0.018444882547532328,0.043035394768168415,0.009982633896037724,0.5373102426528931,0.5218203067779541,0.9711713370687676
config_alpha-1.0_eps-0.5_iter-20,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.2_alpha-peak.h5,False,0.613836363792585,0.5379772108463549,0.015498131202474546,0.003639442119830555,0.0009127460791159689,0.613833487033844,0.5895318388938904,0.9604100319495705
config_alpha-1.0_eps-0.5_iter-20,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-high.h5,True,0.7104198884822086,0.6262252151360179,0.02631658549865392,0.0,0.0,0.7103737592697144,0.753017008304596,1.060029313412027
config_alpha-1.0_eps-0.5_iter-20,"{'alpha': 1.0, 'grad_eps': 0.5, 'grad_iter': 20, 'grad_eta': 0.1}",AutomatedCMS_mZprime-2000_mDark-1_rinv-0.3_alpha-low.h5,False,0.5373649316601002,0.4280239852010046,0.009156573763315336,0.017496654425605128,0.004394026047230486,0.5374180674552917,0.6163039803504944,1.1467868642167771
